ID_KEC,nama_kota,nama_kecamatan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Kasus Aktif,Tanggal
317506,JAKARTA TIMUR,CAKUNG,22654,2,22238,413,1,3,2021-11-22
317105,JAKARTA PUSAT,CEMPAKA PUTIH,10517,2,10345,168,2,4,2021-11-22
317301,JAKARTA BARAT,CENGKARENG,28646,6,28064,559,17,23,2021-11-22
317406,JAKARTA SELATAN,CILANDAK,17687,3,17421,261,2,5,2021-11-22
317204,JAKARTA UTARA,CILINCING,17412,1,17062,340,9,10,2021-11-22
317510,JAKARTA TIMUR,CIPAYUNG,25190,5,24911,267,7,12,2021-11-22
317509,JAKARTA TIMUR,CIRACAS,22504,1,22110,379,14,15,2021-11-22
317507,JAKARTA TIMUR,DUREN SAWIT,29465,3,28851,611,0,3,2021-11-22
317101,JAKARTA PUSAT,GAMBIR,8560,2,8423,134,1,3,2021-11-22
317302,JAKARTA BARAT,GROGOL PETAMBURAN,19082,1,18781,298,2,3,2021-11-22
317409,JAKARTA SELATAN,JAGAKARSA,26590,1,26176,406,7,8,2021-11-22
317503,JAKARTA TIMUR,JATINEGARA,19568,2,19179,383,4,6,2021-11-22
317108,JAKARTA PUSAT,JOHAR BARU,8681,2,8521,157,1,3,2021-11-22
317306,JAKARTA BARAT,KALI DERES,18020,5,17693,316,6,11,2021-11-22
317407,JAKARTA SELATAN,KEBAYORAN BARU,13874,1,13684,185,4,5,2021-11-22
317405,JAKARTA SELATAN,KEBAYORAN LAMA,20046,1,19681,362,2,3,2021-11-22
317305,JAKARTA BARAT,KEBON JERUK,22082,7,21696,374,5,12,2021-11-22
317206,JAKARTA UTARA,KELAPA GADING,12636,2,12438,192,4,6,2021-11-22
317103,JAKARTA PUSAT,KEMAYORAN,19952,8,19566,373,5,13,2021-11-22
317308,JAKARTA BARAT,KEMBANGAN,20245,2,19934,303,6,8,2021-11-22
310102,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,704,0,694,10,0,0,2021-11-22
310101,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,640,0,634,6,0,0,2021-11-22
317203,JAKARTA UTARA,KOJA,17225,2,16882,337,4,6,2021-11-22
317504,JAKARTA TIMUR,KRAMAT JATI,21614,1,21211,402,0,1,2021-11-22
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,92110,14,91442,616,38,52,2021-11-22
317508,JAKARTA TIMUR,MAKASAR,17473,2,17174,296,1,3,2021-11-22
317403,JAKARTA SELATAN,MAMPANG PRAPATAN,11508,0,11325,179,4,4,2021-11-22
317501,JAKARTA TIMUR,MATRAMAN,14221,1,13937,279,4,5,2021-11-22
317106,JAKARTA PUSAT,MENTENG,6433,0,6313,119,1,1,2021-11-22
317205,JAKARTA UTARA,PADEMANGAN,12871,3,12687,163,18,21,2021-11-22
317307,JAKARTA BARAT,PALMERAH,15833,3,15494,329,7,10,2021-11-22
317408,JAKARTA SELATAN,PANCORAN,14326,3,14095,227,1,4,2021-11-22
317404,JAKARTA SELATAN,PASAR MINGGU,23810,1,23376,426,7,8,2021-11-22
317505,JAKARTA TIMUR,PASAR REBO,17641,4,17311,326,0,4,2021-11-22
317201,JAKARTA UTARA,PENJARINGAN,18630,1,18397,229,3,4,2021-11-22
317410,JAKARTA SELATAN,PESANGGRAHAN,16371,1,16118,252,0,1,2021-11-22
PROSES UPDATE DATA,PROSES UPDATE DATA,PROSES UPDATE DATA,49707,71,48913,655,68,139,2021-11-22
317502,JAKARTA TIMUR,PULO GADUNG,21790,2,21387,400,1,3,2021-11-22
317102,JAKARTA PUSAT,SAWAH BESAR,9155,1,8982,172,0,1,2021-11-22
317104,JAKARTA PUSAT,SENEN,9385,2,9212,168,3,5,2021-11-22
317402,JAKARTA SELATAN,SETIA BUDI,12002,1,11815,183,3,4,2021-11-22
317303,JAKARTA BARAT,TAMAN SARI,8754,0,8614,140,0,0,2021-11-22
317304,JAKARTA BARAT,TAMBORA,14119,2,13860,253,4,6,2021-11-22
317107,JAKARTA PUSAT,TANAH ABANG,11042,4,10808,223,7,11,2021-11-22
317202,JAKARTA UTARA,TANJUNG PRIOK,25757,4,25325,425,3,7,2021-11-22
317401,JAKARTA SELATAN,TEBET,16950,2,16668,278,2,4,2021-11-22
317506,JAKARTA TIMUR,CAKUNG,22654,1,22239,413,1,2,2021-11-23
317105,JAKARTA PUSAT,CEMPAKA PUTIH,10518,3,10345,168,2,5,2021-11-23
317301,JAKARTA BARAT,CENGKARENG,28646,5,28065,559,17,22,2021-11-23
317406,JAKARTA SELATAN,CILANDAK,17690,3,17422,261,4,7,2021-11-23
317204,JAKARTA UTARA,CILINCING,17415,0,17067,340,8,8,2021-11-23
317510,JAKARTA TIMUR,CIPAYUNG,25191,5,24912,267,7,12,2021-11-23
317509,JAKARTA TIMUR,CIRACAS,22506,1,22111,379,15,16,2021-11-23
317507,JAKARTA TIMUR,DUREN SAWIT,29465,3,28851,611,0,3,2021-11-23
317101,JAKARTA PUSAT,GAMBIR,8561,2,8424,134,1,3,2021-11-23
317302,JAKARTA BARAT,GROGOL PETAMBURAN,19082,1,18781,298,2,3,2021-11-23
317409,JAKARTA SELATAN,JAGAKARSA,26591,1,26178,406,6,7,2021-11-23
317503,JAKARTA TIMUR,JATINEGARA,19569,2,19180,383,4,6,2021-11-23
317108,JAKARTA PUSAT,JOHAR BARU,8681,2,8521,157,1,3,2021-11-23
317306,JAKARTA BARAT,KALI DERES,18020,3,17695,316,6,9,2021-11-23
317407,JAKARTA SELATAN,KEBAYORAN BARU,13876,2,13684,185,5,7,2021-11-23
317405,JAKARTA SELATAN,KEBAYORAN LAMA,20046,1,19681,362,2,3,2021-11-23
317305,JAKARTA BARAT,KEBON JERUK,22082,6,21697,374,5,11,2021-11-23
317206,JAKARTA UTARA,KELAPA GADING,12636,2,12438,192,4,6,2021-11-23
317103,JAKARTA PUSAT,KEMAYORAN,19952,6,19569,373,4,10,2021-11-23
317308,JAKARTA BARAT,KEMBANGAN,20246,3,19935,303,5,8,2021-11-23
310102,KAB.ADM.KEP.SERIBU,KEP. SERIBU SELATAN,704,0,694,10,0,0,2021-11-23
310101,KAB.ADM.KEP.SERIBU,KEP. SERIBU UTARA,640,0,634,6,0,0,2021-11-23
317203,JAKARTA UTARA,KOJA,17226,3,16882,337,4,7,2021-11-23
317504,JAKARTA TIMUR,KRAMAT JATI,21627,2,21223,402,0,2,2021-11-23
LUAR DKI JAKARTA,LUAR DKI JAKARTA,LUAR DKI JAKARTA,92110,13,91453,616,28,41,2021-11-23
317508,JAKARTA TIMUR,MAKASAR,17474,2,17175,296,1,3,2021-11-23
317403,JAKARTA SELATAN,MAMPANG PRAPATAN,11508,0,11325,179,4,4,2021-11-23
317501,JAKARTA TIMUR,MATRAMAN,14221,0,13938,279,4,4,2021-11-23
317106,JAKARTA PUSAT,MENTENG,6433,0,6313,119,1,1,2021-11-23
317205,JAKARTA UTARA,PADEMANGAN,12874,3,12689,163,19,22,2021-11-23
317307,JAKARTA BARAT,PALMERAH,15833,3,15494,329,7,10,2021-11-23
317408,JAKARTA SELATAN,PANCORAN,14326,3,14095,227,1,4,2021-11-23
317404,JAKARTA SELATAN,PASAR MINGGU,23812,1,23376,426,9,10,2021-11-23
317505,JAKARTA TIMUR,PASAR REBO,17641,4,17311,326,0,4,2021-11-23
317201,JAKARTA UTARA,PENJARINGAN,18632,2,18397,229,4,6,2021-11-23
317410,JAKARTA SELATAN,PESANGGRAHAN,16372,2,16118,252,0,2,2021-11-23
PROSES UPDATE DATA,PROSES UPDATE DATA,PROSES UPDATE DATA,49732,77,48902,655,98,175,2021-11-23
317502,JAKARTA TIMUR,PULO GADUNG,21791,3,21387,400,1,4,2021-11-23
317102,JAKARTA PUSAT,SAWAH BESAR,9155,1,8982,172,0,1,2021-11-23
317104,JAKARTA PUSAT,SENEN,9385,1,9213,168,3,4,2021-11-23
317402,JAKARTA SELATAN,SETIA BUDI,12002,1,11815,183,3,4,2021-11-23
317303,JAKARTA BARAT,TAMAN SARI,8754,0,8614,140,0,0,2021-11-23
317304,JAKARTA BARAT,TAMBORA,14119,2,13860,253,4,6,2021-11-23
317107,JAKARTA PUSAT,TANAH ABANG,11042,3,10809,223,7,10,2021-11-23
317202,JAKARTA UTARA,TANJUNG PRIOK,25760,3,25328,425,4,7,2021-11-23
317401,JAKARTA SELATAN,TEBET,16951,2,16669,278,2,4,2021-11-23
317506,JAKARTA TIMUR,CAKUNG,22656,3,22239,413,1,4,2021-11-24
317105,JAKARTA PUSAT,CEMPAKA PUTIH,10520,3,10346,168,3,6,2021-11-24
317301,JAKARTA BARAT,CENGKARENG,28661,6,28065,559,31,37,2021-11-24
317406,JAKARTA SELATAN,CILANDAK,17691,4,17422,261,4,8,2021-11-24
317204,JAKARTA UTARA,CILINCING,17423,0,17067,340,16,16,2021-11-24
317510,JAKARTA TIMUR,CIPAYUNG,25192,6,24912,267,7,13,2021-11-24
317509,JAKARTA TIMUR,CIRACAS,22506,1,22111,379,15,16,2021-11-24
317507,JAKARTA TIMUR,DUREN SAWIT,29466,3,28851,611,1,4,2021-11-24
317101,JAKARTA PUSAT,GAMBIR,8563,3,8424,134,2,5,2021-11-24
317302,JAKARTA BARAT,GROGOL PETAMBURAN,19082,1,18781,298,2,3,2021-11-24
317409,JAKARTA SELATAN,JAGAKARSA,26592,1,26178,406,7,8,2021-11-24
317503,JAKARTA TIMUR,JATINEGARA,19569,2,19180,383,4,6,2021-11-24
317108,JAKARTA PUSAT,JOHAR BARU,8681,2,8521,157,1,3,2021-11-24
317306,JAKARTA BARAT,KALI DERES,18021,2,17696,316,7,9,2021-11-24
317407,JAKARTA SELATAN,KEBAYORAN BARU,13877,2,13684,185,6,8,2021-11-24
317405,JAKARTA SELATAN,KEBAYORAN LAMA,20046,0,19682,362,2,2,2021-11-24
317305,JAKARTA BARAT,KEBON JERUK,22083,5,21700,374,4,9,2021-11-24
