ID_KEL,nama_kota,nama_kecamatan,nama_kelurahan,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Kasus Aktif,Tanggal
3172051003,JAKARTA UTARA,PADEMANGAN,ANCOL,1944,1,1915,27,1,2,2021-11-22
3173041007,JAKARTA BARAT,TAMBORA,ANGKE,1841,0,1806,34,1,1,2021-11-22
3175041005,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,2130,0,2096,34,0,0,2021-11-22
3175031003,JAKARTA TIMUR,JATINEGARA,BALI MESTER,865,0,847,18,0,0,2021-11-22
3175101006,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,3015,0,2979,31,5,5,2021-11-22
3174031002,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,1938,0,1909,28,1,1,2021-11-22
3175051002,JAKARTA TIMUR,PASAR REBO,BARU,2683,0,2642,41,0,0,2021-11-22
3175041004,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,3824,0,3747,77,0,0,2021-11-22
3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,2085,1,2042,40,2,3,2021-11-22
3175031002,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,3033,1,2967,63,2,3,2021-11-22
3174101002,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,3896,1,3813,82,0,1,2021-11-22
3174011005,JAKARTA SELATAN,TEBET,BUKIT DURI,2387,1,2354,32,0,1,2021-11-22
3171041006,JAKARTA PUSAT,SENEN,BUNGUR,1437,0,1410,26,1,1,2021-11-22
3175061007,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,2106,0,2079,27,0,0,2021-11-22
3175061004,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,2898,0,2842,55,1,1,2021-11-22
3175041007,JAKARTA TIMUR,KRAMAT JATI,CAWANG,3209,0,3167,42,0,0,2021-11-22
3175101008,JAKARTA TIMUR,CIPAYUNG,CEGER,2071,0,2042,29,0,0,2021-11-22
3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,3021,1,2954,66,0,1,2021-11-22
3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,4127,2,4048,76,1,3,2021-11-22
3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,3095,0,3040,54,1,1,2021-11-22
3173011001,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,5612,0,5502,104,6,6,2021-11-22
